,REF_DATE,GEO,Dairy distribution,VECTOR,VALUE,TERMINATED
12320,1995-12,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2790,0
12321,1995-12,Newfoundland and Labrador,Fluid purposes,v382167,2790,0
12324,1995-12,Prince Edward Island,"Milk sold off farms, total",v382173,7292,0
12325,1995-12,Prince Edward Island,Fluid purposes,v382174,1294,0
12326,1995-12,Prince Edward Island,Industrial purposes,v382175,5907,0
12327,1995-12,Prince Edward Island,Delivered as cream,v382176,92,1
12328,1995-12,Nova Scotia,"Milk sold off farms, total",v382180,16096,0
12329,1995-12,Nova Scotia,Fluid purposes,v382181,10306,0
12330,1995-12,Nova Scotia,Industrial purposes,v382182,5789,0
12331,1995-12,Nova Scotia,Delivered as cream,v382183,1,1
12332,1995-12,New Brunswick,"Milk sold off farms, total",v382187,10640,0
12333,1995-12,New Brunswick,Fluid purposes,v382188,5390,0
12334,1995-12,New Brunswick,Industrial purposes,v382189,5229,0
12335,1995-12,New Brunswick,Delivered as cream,v382190,22,1
12336,1995-12,Quebec,"Milk sold off farms, total",v382194,233194,0
12337,1995-12,Quebec,Fluid purposes,v382195,59239,0
12338,1995-12,Quebec,Industrial purposes,v382196,173955,0
12340,1995-12,Ontario,"Milk sold off farms, total",v382201,202966,0
12341,1995-12,Ontario,Fluid purposes,v382202,84581,0
12342,1995-12,Ontario,Industrial purposes,v382203,117701,0
12343,1995-12,Ontario,Delivered as cream,v382204,684,1
12344,1995-12,Manitoba,"Milk sold off farms, total",v382208,23677,0
12345,1995-12,Manitoba,Fluid purposes,v382209,9214,0
12346,1995-12,Manitoba,Industrial purposes,v382210,14366,0
12347,1995-12,Manitoba,Delivered as cream,v382211,97,1
12348,1995-12,Saskatchewan,"Milk sold off farms, total",v382215,16926,0
12349,1995-12,Saskatchewan,Fluid purposes,v382216,7221,0
12350,1995-12,Saskatchewan,Industrial purposes,v382217,9615,0
12351,1995-12,Saskatchewan,Delivered as cream,v382218,89,1
12352,1995-12,Alberta,"Milk sold off farms, total",v382222,47684,0
12353,1995-12,Alberta,Fluid purposes,v382223,24104,0
12354,1995-12,Alberta,Industrial purposes,v382224,23519,0
12355,1995-12,Alberta,Delivered as cream,v382225,62,1
12356,1995-12,British Columbia,"Milk sold off farms, total",v382162,47849,0
12357,1995-12,British Columbia,Fluid purposes,v382163,29401,0
12358,1995-12,British Columbia,Industrial purposes,v382164,18448,0
12360,1996-01,Canada,"Milk sold off farms, total",v382155,616564,0
12361,1996-01,Canada,Fluid purposes,v382156,234518,0
12362,1996-01,Canada,Industrial purposes,v382157,380885,0
12363,1996-01,Canada,Delivered as cream,v382158,1161,1
12364,1996-01,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2280,0
12365,1996-01,Newfoundland and Labrador,Fluid purposes,v382167,2280,0
12368,1996-01,Prince Edward Island,"Milk sold off farms, total",v382173,7311,0
12369,1996-01,Prince Edward Island,Fluid purposes,v382174,1235,0
12370,1996-01,Prince Edward Island,Industrial purposes,v382175,5985,0
12371,1996-01,Prince Edward Island,Delivered as cream,v382176,91,1
12372,1996-01,Nova Scotia,"Milk sold off farms, total",v382180,13110,0
12373,1996-01,Nova Scotia,Fluid purposes,v382181,7966,0
12374,1996-01,Nova Scotia,Industrial purposes,v382182,5143,0
12375,1996-01,Nova Scotia,Delivered as cream,v382183,1,1
12376,1996-01,New Brunswick,"Milk sold off farms, total",v382187,10738,0
12377,1996-01,New Brunswick,Fluid purposes,v382188,5634,0
12378,1996-01,New Brunswick,Industrial purposes,v382189,5078,0
12379,1996-01,New Brunswick,Delivered as cream,v382190,26,1
12380,1996-01,Quebec,"Milk sold off farms, total",v382194,235269,0
12381,1996-01,Quebec,Fluid purposes,v382195,59909,0
12382,1996-01,Quebec,Industrial purposes,v382196,175360,0
12384,1996-01,Ontario,"Milk sold off farms, total",v382201,208580,0
12385,1996-01,Ontario,Fluid purposes,v382202,84376,0
12386,1996-01,Ontario,Industrial purposes,v382203,123478,0
12387,1996-01,Ontario,Delivered as cream,v382204,726,1
12388,1996-01,Manitoba,"Milk sold off farms, total",v382208,23709,0
12389,1996-01,Manitoba,Fluid purposes,v382209,9786,0
12390,1996-01,Manitoba,Industrial purposes,v382210,13812,0
12391,1996-01,Manitoba,Delivered as cream,v382211,111,1
12392,1996-01,Saskatchewan,"Milk sold off farms, total",v382215,17166,0
12393,1996-01,Saskatchewan,Fluid purposes,v382216,7792,0
12394,1996-01,Saskatchewan,Industrial purposes,v382217,9258,0
12395,1996-01,Saskatchewan,Delivered as cream,v382218,117,1
12396,1996-01,Alberta,"Milk sold off farms, total",v382222,49184,0
12397,1996-01,Alberta,Fluid purposes,v382223,25169,0
12398,1996-01,Alberta,Industrial purposes,v382224,23926,0
12399,1996-01,Alberta,Delivered as cream,v382225,89,1
12400,1996-01,British Columbia,"Milk sold off farms, total",v382162,49218,0
12401,1996-01,British Columbia,Fluid purposes,v382163,30373,0
12402,1996-01,British Columbia,Industrial purposes,v382164,18845,0
12404,1996-02,Canada,"Milk sold off farms, total",v382155,580948,0
12405,1996-02,Canada,Fluid purposes,v382156,223195,0
12406,1996-02,Canada,Industrial purposes,v382157,356784,0
12407,1996-02,Canada,Delivered as cream,v382158,969,1
12408,1996-02,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2282,0
12409,1996-02,Newfoundland and Labrador,Fluid purposes,v382167,2282,0
12412,1996-02,Prince Edward Island,"Milk sold off farms, total",v382173,7013,0
12413,1996-02,Prince Edward Island,Fluid purposes,v382174,1195,0
12414,1996-02,Prince Edward Island,Industrial purposes,v382175,5756,0
12415,1996-02,Prince Edward Island,Delivered as cream,v382176,61,1
12416,1996-02,Nova Scotia,"Milk sold off farms, total",v382180,13133,0
12417,1996-02,Nova Scotia,Fluid purposes,v382181,8149,0
12418,1996-02,Nova Scotia,Industrial purposes,v382182,4984,0
12419,1996-02,Nova Scotia,Delivered as cream,v382183,1,1
12420,1996-02,New Brunswick,"Milk sold off farms, total",v382187,10028,0
12421,1996-02,New Brunswick,Fluid purposes,v382188,5499,0
12422,1996-02,New Brunswick,Industrial purposes,v382189,4513,0
12423,1996-02,New Brunswick,Delivered as cream,v382190,16,1
12424,1996-02,Quebec,"Milk sold off farms, total",v382194,220904,0
12425,1996-02,Quebec,Fluid purposes,v382195,55093,0
12426,1996-02,Quebec,Industrial purposes,v382196,165811,0
12428,1996-02,Ontario,"Milk sold off farms, total",v382201,196913,0
12429,1996-02,Ontario,Fluid purposes,v382202,82270,0
12430,1996-02,Ontario,Industrial purposes,v382203,114005,0
12431,1996-02,Ontario,Delivered as cream,v382204,638,1
12432,1996-02,Manitoba,"Milk sold off farms, total",v382208,21876,0
12433,1996-02,Manitoba,Fluid purposes,v382209,9255,0
12434,1996-02,Manitoba,Industrial purposes,v382210,12517,0
12435,1996-02,Manitoba,Delivered as cream,v382211,104,1
12436,1996-02,Saskatchewan,"Milk sold off farms, total",v382215,16142,0
12437,1996-02,Saskatchewan,Fluid purposes,v382216,7393,0
12438,1996-02,Saskatchewan,Industrial purposes,v382217,8666,0
12439,1996-02,Saskatchewan,Delivered as cream,v382218,84,1
12440,1996-02,Alberta,"Milk sold off farms, total",v382222,46402,0
12441,1996-02,Alberta,Fluid purposes,v382223,23593,0
12442,1996-02,Alberta,Industrial purposes,v382224,22744,0
12443,1996-02,Alberta,Delivered as cream,v382225,65,1
12444,1996-02,British Columbia,"Milk sold off farms, total",v382162,46255,0
12445,1996-02,British Columbia,Fluid purposes,v382163,28467,0
12446,1996-02,British Columbia,Industrial purposes,v382164,17788,0
12448,1996-03,Canada,"Milk sold off farms, total",v382155,629265,0
12449,1996-03,Canada,Fluid purposes,v382156,234458,0
12450,1996-03,Canada,Industrial purposes,v382157,393748,0
12451,1996-03,Canada,Delivered as cream,v382158,1059,1
12452,1996-03,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2852,0
12453,1996-03,Newfoundland and Labrador,Fluid purposes,v382167,2852,0
12456,1996-03,Prince Edward Island,"Milk sold off farms, total",v382173,7867,0
12457,1996-03,Prince Edward Island,Fluid purposes,v382174,1217,0
12458,1996-03,Prince Edward Island,Industrial purposes,v382175,6596,0
12459,1996-03,Prince Edward Island,Delivered as cream,v382176,54,1
12460,1996-03,Nova Scotia,"Milk sold off farms, total",v382180,16340,0
12461,1996-03,Nova Scotia,Fluid purposes,v382181,10162,0
12462,1996-03,Nova Scotia,Industrial purposes,v382182,6177,0
12463,1996-03,Nova Scotia,Delivered as cream,v382183,1,1
12464,1996-03,New Brunswick,"Milk sold off farms, total",v382187,10688,0
12465,1996-03,New Brunswick,Fluid purposes,v382188,5465,0
12466,1996-03,New Brunswick,Industrial purposes,v382189,5209,0
12467,1996-03,New Brunswick,Delivered as cream,v382190,14,1
12468,1996-03,Quebec,"Milk sold off farms, total",v382194,238384,0
12469,1996-03,Quebec,Fluid purposes,v382195,58420,0
12470,1996-03,Quebec,Industrial purposes,v382196,179964,0
12472,1996-03,Ontario,"Milk sold off farms, total",v382201,212074,0
12473,1996-03,Ontario,Fluid purposes,v382202,85091,0
12474,1996-03,Ontario,Industrial purposes,v382203,126283,0
12475,1996-03,Ontario,Delivered as cream,v382204,700,1
12476,1996-03,Manitoba,"Milk sold off farms, total",v382208,23210,0
12477,1996-03,Manitoba,Fluid purposes,v382209,9569,0
12478,1996-03,Manitoba,Industrial purposes,v382210,13529,0
12479,1996-03,Manitoba,Delivered as cream,v382211,112,1
12480,1996-03,Saskatchewan,"Milk sold off farms, total",v382215,17442,0
12481,1996-03,Saskatchewan,Fluid purposes,v382216,7597,0
12482,1996-03,Saskatchewan,Industrial purposes,v382217,9745,0
12483,1996-03,Saskatchewan,Delivered as cream,v382218,101,1
12484,1996-03,Alberta,"Milk sold off farms, total",v382222,50297,0
12485,1996-03,Alberta,Fluid purposes,v382223,25011,0
12486,1996-03,Alberta,Industrial purposes,v382224,25208,0
12487,1996-03,Alberta,Delivered as cream,v382225,78,1
12488,1996-03,British Columbia,"Milk sold off farms, total",v382162,50110,0
12489,1996-03,British Columbia,Fluid purposes,v382163,29073,0
12490,1996-03,British Columbia,Industrial purposes,v382164,21037,0
12492,1996-04,Canada,"Milk sold off farms, total",v382155,616199,0
12493,1996-04,Canada,Fluid purposes,v382156,228177,0
12494,1996-04,Canada,Industrial purposes,v382157,386733,0
12495,1996-04,Canada,Delivered as cream,v382158,1289,1
12496,1996-04,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2294,0
12497,1996-04,Newfoundland and Labrador,Fluid purposes,v382167,2294,0
12500,1996-04,Prince Edward Island,"Milk sold off farms, total",v382173,8642,0
12501,1996-04,Prince Edward Island,Fluid purposes,v382174,1234,0
12502,1996-04,Prince Edward Island,Industrial purposes,v382175,7328,0
12503,1996-04,Prince Edward Island,Delivered as cream,v382176,79,1
12504,1996-04,Nova Scotia,"Milk sold off farms, total",v382180,13129,0
12505,1996-04,Nova Scotia,Fluid purposes,v382181,7961,0
12506,1996-04,Nova Scotia,Industrial purposes,v382182,5168,0
12507,1996-04,Nova Scotia,Delivered as cream,v382183,1,1
12508,1996-04,New Brunswick,"Milk sold off farms, total",v382187,10281,0
12509,1996-04,New Brunswick,Fluid purposes,v382188,5573,0
12510,1996-04,New Brunswick,Industrial purposes,v382189,4681,0
12511,1996-04,New Brunswick,Delivered as cream,v382190,27,1
12512,1996-04,Quebec,"Milk sold off farms, total",v382194,237816,0
12513,1996-04,Quebec,Fluid purposes,v382195,57555,0
12514,1996-04,Quebec,Industrial purposes,v382196,180261,0
12516,1996-04,Ontario,"Milk sold off farms, total",v382201,206824,0
12517,1996-04,Ontario,Fluid purposes,v382202,83647,0
12518,1996-04,Ontario,Industrial purposes,v382203,122328,0
12519,1996-04,Ontario,Delivered as cream,v382204,850,1
12520,1996-04,Manitoba,"Milk sold off farms, total",v382208,22412,0
12521,1996-04,Manitoba,Fluid purposes,v382209,9257,0
12522,1996-04,Manitoba,Industrial purposes,v382210,13034,0
12523,1996-04,Manitoba,Delivered as cream,v382211,121,1
12524,1996-04,Saskatchewan,"Milk sold off farms, total",v382215,16853,0
12525,1996-04,Saskatchewan,Fluid purposes,v382216,7288,0
12526,1996-04,Saskatchewan,Industrial purposes,v382217,9438,0
12527,1996-04,Saskatchewan,Delivered as cream,v382218,127,1
12528,1996-04,Alberta,"Milk sold off farms, total",v382222,49538,0
12529,1996-04,Alberta,Fluid purposes,v382223,23447,0
12530,1996-04,Alberta,Industrial purposes,v382224,26006,0
12531,1996-04,Alberta,Delivered as cream,v382225,85,1
12532,1996-04,British Columbia,"Milk sold off farms, total",v382162,48409,0
12533,1996-04,British Columbia,Fluid purposes,v382163,29920,0
12534,1996-04,British Columbia,Industrial purposes,v382164,18489,0
12536,1996-05,Canada,"Milk sold off farms, total",v382155,633432,0
12537,1996-05,Canada,Fluid purposes,v382156,229933,0
12538,1996-05,Canada,Industrial purposes,v382157,402169,0
12539,1996-05,Canada,Delivered as cream,v382158,1330,1
12540,1996-05,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2299,0
12541,1996-05,Newfoundland and Labrador,Fluid purposes,v382167,2299,0
12544,1996-05,Prince Edward Island,"Milk sold off farms, total",v382173,8695,0
12545,1996-05,Prince Edward Island,Fluid purposes,v382174,1267,0
12546,1996-05,Prince Edward Island,Industrial purposes,v382175,7328,0
12547,1996-05,Prince Edward Island,Delivered as cream,v382176,99,1
12548,1996-05,Nova Scotia,"Milk sold off farms, total",v382180,13138,0
12549,1996-05,Nova Scotia,Fluid purposes,v382181,7874,0
12550,1996-05,Nova Scotia,Industrial purposes,v382182,5264,0
12551,1996-05,Nova Scotia,Delivered as cream,v382183,1,1
12552,1996-05,New Brunswick,"Milk sold off farms, total",v382187,10479,0
12553,1996-05,New Brunswick,Fluid purposes,v382188,5750,0
12554,1996-05,New Brunswick,Industrial purposes,v382189,4687,0
12555,1996-05,New Brunswick,Delivered as cream,v382190,42,1
12556,1996-05,Quebec,"Milk sold off farms, total",v382194,245677,0
12557,1996-05,Quebec,Fluid purposes,v382195,58137,0
12558,1996-05,Quebec,Industrial purposes,v382196,187540,0
12560,1996-05,Ontario,"Milk sold off farms, total",v382201,210606,0
12561,1996-05,Ontario,Fluid purposes,v382202,84371,0
12562,1996-05,Ontario,Industrial purposes,v382203,125382,0
12563,1996-05,Ontario,Delivered as cream,v382204,853,1
12564,1996-05,Manitoba,"Milk sold off farms, total",v382208,23217,0
12565,1996-05,Manitoba,Fluid purposes,v382209,9572,0
12566,1996-05,Manitoba,Industrial purposes,v382210,13518,0
12567,1996-05,Manitoba,Delivered as cream,v382211,127,1
12568,1996-05,Saskatchewan,"Milk sold off farms, total",v382215,17231,0
12569,1996-05,Saskatchewan,Fluid purposes,v382216,7447,0
12570,1996-05,Saskatchewan,Industrial purposes,v382217,9675,0
12571,1996-05,Saskatchewan,Delivered as cream,v382218,109,1
12572,1996-05,Alberta,"Milk sold off farms, total",v382222,52465,0
12573,1996-05,Alberta,Fluid purposes,v382223,24033,0
12574,1996-05,Alberta,Industrial purposes,v382224,28333,0
12575,1996-05,Alberta,Delivered as cream,v382225,99,1
12576,1996-05,British Columbia,"Milk sold off farms, total",v382162,49625,0
12577,1996-05,British Columbia,Fluid purposes,v382163,29184,0
12578,1996-05,British Columbia,Industrial purposes,v382164,20441,0
12580,1996-06,Canada,"Milk sold off farms, total",v382155,612844,0
12581,1996-06,Canada,Fluid purposes,v382156,211599,0
12582,1996-06,Canada,Industrial purposes,v382157,399787,0
12583,1996-06,Canada,Delivered as cream,v382158,1458,1
12584,1996-06,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2885,0
12585,1996-06,Newfoundland and Labrador,Fluid purposes,v382167,2885,0
12588,1996-06,Prince Edward Island,"Milk sold off farms, total",v382173,8889,0
12589,1996-06,Prince Edward Island,Fluid purposes,v382174,1161,0
12590,1996-06,Prince Edward Island,Industrial purposes,v382175,7590,0
12591,1996-06,Prince Edward Island,Delivered as cream,v382176,138,1
12592,1996-06,Nova Scotia,"Milk sold off farms, total",v382180,16412,0
12593,1996-06,Nova Scotia,Fluid purposes,v382181,9680,0
12594,1996-06,Nova Scotia,Industrial purposes,v382182,6730,0
12595,1996-06,Nova Scotia,Delivered as cream,v382183,1,1
12596,1996-06,New Brunswick,"Milk sold off farms, total",v382187,10354,0
12597,1996-06,New Brunswick,Fluid purposes,v382188,4921,0
12598,1996-06,New Brunswick,Industrial purposes,v382189,5372,0
12599,1996-06,New Brunswick,Delivered as cream,v382190,61,1
12600,1996-06,Quebec,"Milk sold off farms, total",v382194,236386,0
12601,1996-06,Quebec,Fluid purposes,v382195,49446,0
12602,1996-06,Quebec,Industrial purposes,v382196,186940,0
12604,1996-06,Ontario,"Milk sold off farms, total",v382201,199159,0
12605,1996-06,Ontario,Fluid purposes,v382202,78613,0
12606,1996-06,Ontario,Industrial purposes,v382203,119639,0
12607,1996-06,Ontario,Delivered as cream,v382204,907,1
12608,1996-06,Manitoba,"Milk sold off farms, total",v382208,22735,0
12609,1996-06,Manitoba,Fluid purposes,v382209,8495,0
12610,1996-06,Manitoba,Industrial purposes,v382210,14110,0
12611,1996-06,Manitoba,Delivered as cream,v382211,130,1
12612,1996-06,Saskatchewan,"Milk sold off farms, total",v382215,16843,0
12613,1996-06,Saskatchewan,Fluid purposes,v382216,6974,0
12614,1996-06,Saskatchewan,Industrial purposes,v382217,9741,0
12615,1996-06,Saskatchewan,Delivered as cream,v382218,128,1
12616,1996-06,Alberta,"Milk sold off farms, total",v382222,52271,0
12617,1996-06,Alberta,Fluid purposes,v382223,23069,0
12618,1996-06,Alberta,Industrial purposes,v382224,29108,0
12619,1996-06,Alberta,Delivered as cream,v382225,94,1
12620,1996-06,British Columbia,"Milk sold off farms, total",v382162,46911,0
12621,1996-06,British Columbia,Fluid purposes,v382163,26354,0
12622,1996-06,British Columbia,Industrial purposes,v382164,20557,0
12624,1996-07,Canada,"Milk sold off farms, total",v382155,597435,0
12625,1996-07,Canada,Fluid purposes,v382156,216922,0
12626,1996-07,Canada,Industrial purposes,v382157,378831,0
12627,1996-07,Canada,Delivered as cream,v382158,1682,1
12628,1996-07,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2212,0
12629,1996-07,Newfoundland and Labrador,Fluid purposes,v382167,2212,0
12632,1996-07,Prince Edward Island,"Milk sold off farms, total",v382173,8795,0
12633,1996-07,Prince Edward Island,Fluid purposes,v382174,1377,0
12634,1996-07,Prince Edward Island,Industrial purposes,v382175,7255,0
12635,1996-07,Prince Edward Island,Delivered as cream,v382176,163,1
12636,1996-07,Nova Scotia,"Milk sold off farms, total",v382180,12525,0
12637,1996-07,Nova Scotia,Fluid purposes,v382181,7575,0
12638,1996-07,Nova Scotia,Industrial purposes,v382182,4949,0
12639,1996-07,Nova Scotia,Delivered as cream,v382183,1,1
12640,1996-07,New Brunswick,"Milk sold off farms, total",v382187,9943,0
12641,1996-07,New Brunswick,Fluid purposes,v382188,5338,0
12642,1996-07,New Brunswick,Industrial purposes,v382189,4529,0
12643,1996-07,New Brunswick,Delivered as cream,v382190,76,1
12644,1996-07,Quebec,"Milk sold off farms, total",v382194,225872,0
12645,1996-07,Quebec,Fluid purposes,v382195,53870,0
12646,1996-07,Quebec,Industrial purposes,v382196,172002,0
12648,1996-07,Ontario,"Milk sold off farms, total",v382201,197208,0
12649,1996-07,Ontario,Fluid purposes,v382202,79516,0
12650,1996-07,Ontario,Industrial purposes,v382203,116695,0
12651,1996-07,Ontario,Delivered as cream,v382204,997,1
12652,1996-07,Manitoba,"Milk sold off farms, total",v382208,23097,0
12653,1996-07,Manitoba,Fluid purposes,v382209,9103,0
12654,1996-07,Manitoba,Industrial purposes,v382210,13842,0
12655,1996-07,Manitoba,Delivered as cream,v382211,152,1
12656,1996-07,Saskatchewan,"Milk sold off farms, total",v382215,17171,0
12657,1996-07,Saskatchewan,Fluid purposes,v382216,7107,0
12658,1996-07,Saskatchewan,Industrial purposes,v382217,9884,0
12659,1996-07,Saskatchewan,Delivered as cream,v382218,180,1
12660,1996-07,Alberta,"Milk sold off farms, total",v382222,53103,0
12661,1996-07,Alberta,Fluid purposes,v382223,22288,0
12662,1996-07,Alberta,Industrial purposes,v382224,30703,0
12663,1996-07,Alberta,Delivered as cream,v382225,112,1
12664,1996-07,British Columbia,"Milk sold off farms, total",v382162,47510,0
12665,1996-07,British Columbia,Fluid purposes,v382163,28537,0
12666,1996-07,British Columbia,Industrial purposes,v382164,18974,0
12668,1996-08,Canada,"Milk sold off farms, total",v382155,589315,0
12669,1996-08,Canada,Fluid purposes,v382156,227387,0
12670,1996-08,Canada,Industrial purposes,v382157,360559,0
12671,1996-08,Canada,Delivered as cream,v382158,1368,1
12672,1996-08,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2172,0
12673,1996-08,Newfoundland and Labrador,Fluid purposes,v382167,2172,0
12676,1996-08,Prince Edward Island,"Milk sold off farms, total",v382173,8480,0
12677,1996-08,Prince Edward Island,Fluid purposes,v382174,1382,0
12678,1996-08,Prince Edward Island,Industrial purposes,v382175,6949,0
12679,1996-08,Prince Edward Island,Delivered as cream,v382176,149,1
12680,1996-08,Nova Scotia,"Milk sold off farms, total",v382180,12514,0
12681,1996-08,Nova Scotia,Fluid purposes,v382181,7726,0
12682,1996-08,Nova Scotia,Industrial purposes,v382182,4787,0
12683,1996-08,Nova Scotia,Delivered as cream,v382183,1,1
12684,1996-08,New Brunswick,"Milk sold off farms, total",v382187,10367,0
12685,1996-08,New Brunswick,Fluid purposes,v382188,5854,0
12686,1996-08,New Brunswick,Industrial purposes,v382189,4454,0
12687,1996-08,New Brunswick,Delivered as cream,v382190,59,1
12688,1996-08,Quebec,"Milk sold off farms, total",v382194,222538,0
12689,1996-08,Quebec,Fluid purposes,v382195,54934,0
12690,1996-08,Quebec,Industrial purposes,v382196,167604,0
12692,1996-08,Ontario,"Milk sold off farms, total",v382201,195832,0
12693,1996-08,Ontario,Fluid purposes,v382202,84622,0
12694,1996-08,Ontario,Industrial purposes,v382203,110346,0
12695,1996-08,Ontario,Delivered as cream,v382204,864,1
12696,1996-08,Manitoba,"Milk sold off farms, total",v382208,23003,0
12697,1996-08,Manitoba,Fluid purposes,v382209,9837,0
12698,1996-08,Manitoba,Industrial purposes,v382210,13040,0
12699,1996-08,Manitoba,Delivered as cream,v382211,126,1
12700,1996-08,Saskatchewan,"Milk sold off farms, total",v382215,16746,0
12701,1996-08,Saskatchewan,Fluid purposes,v382216,7685,0
12702,1996-08,Saskatchewan,Industrial purposes,v382217,8978,0
12703,1996-08,Saskatchewan,Delivered as cream,v382218,83,1
12704,1996-08,Alberta,"Milk sold off farms, total",v382222,51119,0
12705,1996-08,Alberta,Fluid purposes,v382223,23338,0
12706,1996-08,Alberta,Industrial purposes,v382224,27695,0
12707,1996-08,Alberta,Delivered as cream,v382225,86,1
12708,1996-08,British Columbia,"Milk sold off farms, total",v382162,46543,0
12709,1996-08,British Columbia,Fluid purposes,v382163,29837,0
12710,1996-08,British Columbia,Industrial purposes,v382164,16706,0
12712,1996-09,Canada,"Milk sold off farms, total",v382155,567137,0
12713,1996-09,Canada,Fluid purposes,v382156,221977,0
12714,1996-09,Canada,Industrial purposes,v382157,343873,0
12715,1996-09,Canada,Delivered as cream,v382158,1287,1
12716,1996-09,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2715,0
12717,1996-09,Newfoundland and Labrador,Fluid purposes,v382167,2715,0
12720,1996-09,Prince Edward Island,"Milk sold off farms, total",v382173,7588,0
12721,1996-09,Prince Edward Island,Fluid purposes,v382174,1204,0
12722,1996-09,Prince Edward Island,Industrial purposes,v382175,6243,0
12723,1996-09,Prince Edward Island,Delivered as cream,v382176,141,1
12724,1996-09,Nova Scotia,"Milk sold off farms, total",v382180,16419,0
12725,1996-09,Nova Scotia,Fluid purposes,v382181,10640,0
12726,1996-09,Nova Scotia,Industrial purposes,v382182,5777,0
12727,1996-09,Nova Scotia,Delivered as cream,v382183,2,1
12728,1996-09,New Brunswick,"Milk sold off farms, total",v382187,9940,0
12729,1996-09,New Brunswick,Fluid purposes,v382188,5519,0
12730,1996-09,New Brunswick,Industrial purposes,v382189,4376,0
12731,1996-09,New Brunswick,Delivered as cream,v382190,45,1
12732,1996-09,Quebec,"Milk sold off farms, total",v382194,212376,0
12733,1996-09,Quebec,Fluid purposes,v382195,54720,0
12734,1996-09,Quebec,Industrial purposes,v382196,157656,0
12736,1996-09,Ontario,"Milk sold off farms, total",v382201,187758,0
12737,1996-09,Ontario,Fluid purposes,v382202,78413,0
12738,1996-09,Ontario,Industrial purposes,v382203,108561,0
12739,1996-09,Ontario,Delivered as cream,v382204,784,1
12740,1996-09,Manitoba,"Milk sold off farms, total",v382208,22333,0
12741,1996-09,Manitoba,Fluid purposes,v382209,9525,0
12742,1996-09,Manitoba,Industrial purposes,v382210,12693,0
12743,1996-09,Manitoba,Delivered as cream,v382211,115,1
12744,1996-09,Saskatchewan,"Milk sold off farms, total",v382215,15708,0
12745,1996-09,Saskatchewan,Fluid purposes,v382216,7247,0
12746,1996-09,Saskatchewan,Industrial purposes,v382217,8359,0
12747,1996-09,Saskatchewan,Delivered as cream,v382218,102,1
12748,1996-09,Alberta,"Milk sold off farms, total",v382222,47838,0
12749,1996-09,Alberta,Fluid purposes,v382223,22848,0
12750,1996-09,Alberta,Industrial purposes,v382224,24891,0
12751,1996-09,Alberta,Delivered as cream,v382225,99,1
12752,1996-09,British Columbia,"Milk sold off farms, total",v382162,44463,0
12753,1996-09,British Columbia,Fluid purposes,v382163,29146,0
12754,1996-09,British Columbia,Industrial purposes,v382164,15317,0
12756,1996-10,Canada,"Milk sold off farms, total",v382155,572225,0
12757,1996-10,Canada,Fluid purposes,v382156,240834,0
12758,1996-10,Canada,Industrial purposes,v382157,330200,0
12759,1996-10,Canada,Delivered as cream,v382158,1191,1
12760,1996-10,Newfoundland and Labrador,"Milk sold off farms, total",v382166,2135,0
12761,1996-10,Newfoundland and Labrador,Fluid purposes,v382167,2135,0
12764,1996-10,Prince Edward Island,"Milk sold off farms, total",v382173,7274,0
12765,1996-10,Prince Edward Island,Fluid purposes,v382174,1252,0
12766,1996-10,Prince Edward Island,Industrial purposes,v382175,5902,0
12767,1996-10,Prince Edward Island,Delivered as cream,v382176,120,1
12768,1996-10,Nova Scotia,"Milk sold off farms, total",v382180,13560,0
12769,1996-10,Nova Scotia,Fluid purposes,v382181,9244,0
12770,1996-10,Nova Scotia,Industrial purposes,v382182,4314,0
12771,1996-10,Nova Scotia,Delivered as cream,v382183,1,1
12772,1996-10,New Brunswick,"Milk sold off farms, total",v382187,10269,0
12773,1996-10,New Brunswick,Fluid purposes,v382188,6038,0
12774,1996-10,New Brunswick,Industrial purposes,v382189,4178,0
12775,1996-10,New Brunswick,Delivered as cream,v382190,53,1
12776,1996-10,Quebec,"Milk sold off farms, total",v382194,216150,0
12777,1996-10,Quebec,Fluid purposes,v382195,60961,0
12778,1996-10,Quebec,Industrial purposes,v382196,155189,0
12780,1996-10,Ontario,"Milk sold off farms, total",v382201,190654,0
12781,1996-10,Ontario,Fluid purposes,v382202,87370,0
12782,1996-10,Ontario,Industrial purposes,v382203,102515,0
12783,1996-10,Ontario,Delivered as cream,v382204,769,1
12784,1996-10,Manitoba,"Milk sold off farms, total",v382208,22898,0
12785,1996-10,Manitoba,Fluid purposes,v382209,10418,0
12786,1996-10,Manitoba,Industrial purposes,v382210,12386,0
12787,1996-10,Manitoba,Delivered as cream,v382211,94,1
12788,1996-10,Saskatchewan,"Milk sold off farms, total",v382215,15684,0
12789,1996-10,Saskatchewan,Fluid purposes,v382216,7374,0
12790,1996-10,Saskatchewan,Industrial purposes,v382217,8241,0
